dock_time	protein
8693.117572069168	2jam
10403.041138887405	2qfa
8612.537370204926	3e7o
8300.88774895668	3elj
10118.715225934982	3npc
9319.685974121094	3sx0
9640.629364967346	4agl
8581.304053068161	4x21
8486.018652915955	5l4q
7890.599750041962	6e43
8625.357682228088	6q9y
8576.349282741547	6s1j
8826.507292032242	6y4q
