name	docked_protein	score	no_atoms	Tool	ligand_efficiency
2416	4x21	-9.37429	32	Smina	-0.2929465625
677	4x21	-9.37218	27	Smina	-0.3471177777777778
2043	3e7o	-9.83186	30	Smina	-0.3277286666666666
152	3e7o	-9.78104	26	Smina	-0.3761938461538462
1927	3e7o	-9.59742	32	Smina	-0.299919375
1516	3e7o	-9.56442	27	Smina	-0.3542377777777777
2359	3e7o	-9.47656	28	Smina	-0.3384485714285714
1329	3e7o	-9.44488	27	Smina	-0.3498103703703703
767	3e7o	-9.42466	30	Smina	-0.3141553333333333
11	3e7o	-9.41351	32	Smina	-0.2941721875
1506	3e7o	-9.4084	30	Smina	-0.3136133333333333
278	3e7o	-9.32064	27	Smina	-0.3452088888888888
2416	3e7o	-9.31407	32	Smina	-0.2910646875
2375	3e7o	-9.30602	33	Smina	-0.282000606060606
1386	3e7o	-9.29476	31	Smina	-0.2998309677419354
1413	3e7o	-9.21227	24	Smina	-0.3838445833333333
1689	3e7o	-9.18543	29	Smina	-0.3167389655172414
1691	3e7o	-9.14911	33	Smina	-0.2772457575757576
386	3e7o	-9.14175	31	Smina	-0.2948951612903225
1631	3e7o	-9.13307	28	Smina	-0.3261810714285714
1133	3e7o	-9.10772	29	Smina	-0.3140593103448276
1966	3e7o	-9.10666	26	Smina	-0.3502561538461538
513	3e7o	-9.0881	30	Smina	-0.3029366666666667
776	3e7o	-9.0781	34	Smina	-0.2670029411764705
1056	3e7o	-9.07751	30	Smina	-0.3025836666666667
591	3e7o	-9.05963	22	Smina	-0.4118013636363636
1381	3e7o	-9.02852	30	Smina	-0.3009506666666667
429	3e7o	-9.02192	33	Smina	-0.2733915151515151
26	3e7o	-9.0194	25	Smina	-0.360776
991	3e7o	-8.99803	32	Smina	-0.2811884375
1804	3e7o	-8.95847	26	Smina	-0.3445565384615384
1444	3e7o	-8.95715	29	Smina	-0.3088672413793104
1806	3e7o	-8.95246	28	Smina	-0.3197307142857143
693	3e7o	-8.94628	30	Smina	-0.2982093333333333
2319	3e7o	-8.94628	30	Smina	-0.2982093333333333
293	3e7o	-8.9431	26	Smina	-0.3439653846153846
2330	3e7o	-8.94072	26	Smina	-0.3438738461538462
526	3e7o	-8.9145	28	Smina	-0.318375
130	3e7o	-8.89672	27	Smina	-0.3295081481481481
2375	2qfa	-9.77582	33	Smina	-0.2962369696969696
2359	2qfa	-9.52284	28	Smina	-0.3401014285714286
1927	2qfa	-9.4818	32	Smina	-0.29630625
767	2qfa	-9.4439	30	Smina	-0.3147966666666666
991	2qfa	-9.39424	32	Smina	-0.29357
1037	2qfa	-9.26703	30	Smina	-0.308901
1744	2qfa	-9.18845	30	Smina	-0.3062816666666667
1386	2qfa	-9.16209	31	Smina	-0.2955512903225806
1745	2qfa	-9.14449	30	Smina	-0.3048163333333333
872	2qfa	-9.14206	29	Smina	-0.3152434482758621
2242	2qfa	-9.11654	29	Smina	-0.3143634482758621
2358	2qfa	-9.11488	30	Smina	-0.3038293333333333
2177	2qfa	-9.11334	29	Smina	-0.3142531034482759
1691	2qfa	-8.99849	33	Smina	-0.2726815151515152
526	2qfa	-8.96614	28	Smina	-0.3202192857142857
382	2qfa	-8.96513	28	Smina	-0.3201832142857143
1076	2qfa	-8.95905	28	Smina	-0.3199660714285714
1266	2qfa	-8.95307	26	Smina	-0.3443488461538461
2043	2qfa	-8.93722	30	Smina	-0.2979073333333333
1689	2qfa	-8.91701	29	Smina	-0.3074831034482758
886	2qfa	-8.8957	28	Smina	-0.3177035714285714
1893	2qfa	-8.878	26	Smina	-0.3414615384615385
136	2qfa	-8.84052	28	Smina	-0.3157328571428571
1282	2qfa	-8.84052	28	Smina	-0.3157328571428571
1506	2qfa	-8.82724	30	Smina	-0.2942413333333333
699	2qfa	-8.80462	30	Smina	-0.2934873333333333
385	2qfa	-8.80166	28	Smina	-0.314345
874	2qfa	-8.7718	28	Smina	-0.3132785714285714
1790	2qfa	-8.75566	27	Smina	-0.3242837037037037
2330	2qfa	-8.72647	26	Smina	-0.3356334615384616
429	2qfa	-8.71503	33	Smina	-0.2640918181818182
2361	2qfa	-8.70341	27	Smina	-0.3223485185185185
2364	2qfa	-8.6998	32	Smina	-0.27186875
1388	2qfa	-8.69574	27	Smina	-0.3220644444444445
693	2qfa	-8.69546	30	Smina	-0.2898486666666667
2319	2qfa	-8.69546	30	Smina	-0.2898486666666667
201	2qfa	-8.68919	24	Smina	-0.3620495833333333
2267	2qfa	-8.60853	26	Smina	-0.3310973076923077
1816	2qfa	-8.60382	35	Smina	-0.2458234285714285
1711	2qfa	-8.55157	30	Smina	-0.2850523333333333
411	2qfa	-8.54728	31	Smina	-0.2757187096774193
1511	2qfa	-8.54728	31	Smina	-0.2757187096774193
1927	4agl	-8.67202	32	Smina	-0.271000625
2359	4agl	-8.48078	28	Smina	-0.3028849999999999
2134	4agl	-8.44277	32	Smina	-0.2638365625
991	4agl	-8.32116	32	Smina	-0.26003625
2358	4agl	-8.03667	30	Smina	-0.267889
2043	4agl	-8.02156	30	Smina	-0.2673853333333333
441	4agl	-7.98725	31	Smina	-0.2576532258064516
1816	4agl	-7.82823	35	Smina	-0.2236637142857142
1130	4agl	-7.73638	26	Smina	-0.2975530769230769
874	4agl	-7.72518	28	Smina	-0.2758992857142857
2334	4agl	-7.72227	30	Smina	-0.257409
1266	4agl	-7.71567	26	Smina	-0.2967565384615385
2375	4agl	-7.71083	33	Smina	-0.2336615151515151
886	4agl	-7.68938	28	Smina	-0.2746207142857143
800	4agl	-7.68	28	Smina	-0.2742857142857143
471	4agl	-7.52987	27	Smina	-0.278884074074074
1676	4agl	-7.51157	23	Smina	-0.32659
382	4agl	-7.50501	28	Smina	-0.2680360714285714
526	4agl	-7.50128	28	Smina	-0.2679028571428571
2079	4agl	-7.40296	29	Smina	-0.2552744827586207
1056	4agl	-7.39856	30	Smina	-0.2466186666666666
1535	4agl	-7.37707	28	Smina	-0.2634667857142857
1744	4agl	-7.36455	30	Smina	-0.245485
1894	4agl	-7.35851	24	Smina	-0.3066045833333333
513	4agl	-7.35428	30	Smina	-0.2451426666666666
2242	4agl	-7.34666	29	Smina	-0.2533331034482758
624	4agl	-7.34432	22	Smina	-0.3338327272727273
1690	4agl	-7.33869	31	Smina	-0.2367319354838709
2121	4agl	-7.32205	29	Smina	-0.2524844827586207
136	4agl	-7.31867	28	Smina	-0.2613810714285714
1282	4agl	-7.31867	28	Smina	-0.2613810714285714
429	4agl	-7.29314	33	Smina	-0.2210042424242424
1630	4agl	-7.27864	35	Smina	-0.2079611428571428
1706	4agl	-7.27134	22	Smina	-0.3305154545454545
1100	4agl	-7.27055	25	Smina	-0.290822
2416	4agl	-7.26989	32	Smina	-0.2271840625
138	4agl	-7.26404	24	Smina	-0.3026683333333333
294	3sx0	-11.75	30	LeDock	-0.3916666666666666
1130	3sx0	-10.77	26	LeDock	-0.4142307692307692
631	3sx0	-9.69	26	LeDock	-0.3726923076923076
2116	3sx0	-9.62	30	LeDock	-0.3206666666666666
906	3sx0	-9.47	26	LeDock	-0.3642307692307692
1535	3sx0	-9.41	28	LeDock	-0.3360714285714286
441	3sx0	-9.34	31	LeDock	-0.3012903225806451
1533	3sx0	-9.23	28	LeDock	-0.3296428571428572
662	3sx0	-8.97	24	LeDock	-0.37375
1133	3sx0	-8.79	29	LeDock	-0.303103448275862
526	3sx0	-8.73	28	LeDock	-0.3117857142857143
2359	3sx0	-8.66	28	LeDock	-0.3092857142857143
886	3sx0	-8.64	28	LeDock	-0.3085714285714286
693	3sx0	-8.57	30	LeDock	-0.2856666666666667
2330	3sx0	-8.52	26	LeDock	-0.3276923076923076
2195	3sx0	-8.45	28	LeDock	-0.3017857142857142
421	3sx0	-8.44	26	LeDock	-0.3246153846153846
1516	3sx0	-8.38	27	LeDock	-0.3103703703703704
2134	3sx0	-8.32	32	LeDock	-0.26
408	3sx0	-8.26	28	LeDock	-0.295
2043	3sx0	-8.23	30	LeDock	-0.2743333333333334
2134	3npc	-10.69	32	LeDock	-0.3340625
411	3npc	-10.57	31	LeDock	-0.3409677419354839
294	3npc	-10.49	30	LeDock	-0.3496666666666667
