name	docked_protein	Mean rank	SD
737	2jam	3.0	1.0
200	2jam	3.0	1.7320508075688772
1676	2jam	10.333333333333334	8.504900548115383
1248	2jam	19.666666666666668	14.977761292440647
1894	2jam	24.0	3.605551275463989
205	2jam	26.666666666666668	9.018499505645789
695	2jam	26.666666666666668	21.77919496522618
138	2jam	29.333333333333332	13.650396819628847
1781	2jam	29.333333333333332	22.501851775650227
2330	2jam	30.0	11.357816691600547
2020	2jam	31.666666666666668	28.21937868439582
1982	2jam	33.0	22.869193252058544
985	2jam	34.0	36.49657518178932
2164	2jam	35.0	15.132745950421556
141	2jam	35.0	52.0
670	2jam	35.333333333333336	47.384948383778294
1822	2jam	37.333333333333336	43.50095784386056
1706	2jam	38.666666666666664	26.312227829154516
201	2jam	38.666666666666664	31.182259913824932
199	2jam	41.0	4.358898943540674
2301	2jam	41.333333333333336	28.37839553839035
681	2jam	42.666666666666664	29.365512652316042
454	2jam	43.666666666666664	33.231511150312336
624	2jam	43.666666666666664	45.45693933090231
662	2jam	44.0	37.403208418530085
1850	2jam	46.0	61.538605769061746
680	2jam	46.333333333333336	6.110100926607787
2432	2jam	47.333333333333336	3.785938897200182
131	2jam	47.333333333333336	28.360771028541052
137	2jam	48.333333333333336	58.6031853514238
211	2jam	48.666666666666664	48.01388688008223
95	2jam	49.0	9.0
1001	2jam	50.666666666666664	41.74126655161932
1413	2jam	51.0	85.73797291748855
1651	2jam	51.333333333333336	4.163331998932266
1160	2jam	51.333333333333336	40.796241656963126
2139	2jam	53.0	13.892443989449804
1521	2jam	55.0	84.87638069569178
1388	2jam	59.666666666666664	47.9617903474561
1355	2jam	64.0	86.65448632355972
526	2jam	66.0	24.020824298928627
1432	2jam	66.66666666666667	10.016652800877814
588	2jam	66.66666666666667	37.634204300520736
2267	2jam	68.33333333333333	47.25815626252608
213	2jam	69.33333333333333	37.978063843926186
1945	2jam	70.0	32.449961479175904
1971	2jam	71.66666666666667	88.32515685428095
1130	2jam	72.0	86.01744009211156
1516	2jam	72.33333333333333	13.576941236277536
247	2jam	73.0	51.39066063011839
1518	2jam	73.33333333333333	24.846193538112303
1548	2jam	73.33333333333333	40.611985094714754
1941	2jam	74.66666666666667	111.15004873293277
152	2jam	78.66666666666667	91.27065976168538
789	2jam	80.66666666666667	26.407069760451147
81	2jam	81.33333333333333	24.17298767908786
1721	2jam	82.0	44.170125650715555
39	2jam	87.0	65.93936608733814
677	2jam	87.66666666666667	65.04101270224298
459	2jam	89.0	60.69596362197407
26	2jam	90.0	105.88673193559238
1687	2jam	90.33333333333333	60.04442799572108
591	2jam	92.66666666666667	65.98737252939637
1434	2jam	92.66666666666667	87.06510973595182
1329	2jam	94.66666666666667	76.05480480109941
769	2jam	94.66666666666667	90.85336170628655
293	2jam	95.0	113.45924378383631
1928	2jam	98.0	47.94788837894741
2103	2jam	98.0	49.0
1266	2jam	98.66666666666667	111.14105152162873
1100	2jam	99.0	75.66372975210778
2350	2jam	100.0	81.95730595865142
1893	2jam	102.66666666666667	38.591881702416806
421	2jam	104.33333333333333	33.827996294982256
2109	2jam	104.66666666666667	170.03627064051167
1114	2jam	105.0	38.97435053981015
1609	2jam	105.33333333333333	18.87679351302369
1028	2jam	107.0	52.43090691567332
1523	2jam	108.33333333333333	18.610033136277146
129	2jam	108.33333333333333	55.247926054588994
920	2jam	109.66666666666667	27.392213005402343
2012	2jam	110.0	73.89857914736926
886	2jam	110.66666666666667	36.555893277737496
727	2jam	111.0	91.16468614545876
617	2jam	114.33333333333333	60.069404303133666
1594	2jam	115.66666666666667	47.857427149120056
37	2jam	116.66666666666667	88.79376855012593
471	2jam	117.33333333333333	54.04936015655812
127	2jam	117.66666666666667	79.75796720913424
2266	2jam	118.33333333333333	19.85782801147531
2275	2jam	119.33333333333333	20.55075018906447
513	2jam	119.66666666666667	32.39341496868358
2270	2jam	120.0	87.70974860299168
631	2jam	124.33333333333333	80.32641740631368
1226	2jam	124.66666666666667	33.85754470326124
1976	2jam	125.0	48.041648597857254
1206	2jam	125.0	65.0
1101	2jam	127.0	23.811761799581316
1974	2jam	127.33333333333333	18.610033136277142
1209	2jam	129.0	33.06055050963308
1801	2jam	129.33333333333334	110.56370712549997
2242	2jam	131.0	179.28468980925282
2072	2jam	131.66666666666666	39.32344508474981
1008	2jam	131.66666666666666	92.3976911688454
2017	2jam	131.66666666666666	101.92807921928743
2361	2jam	132.0	7.937253933193772
786	2jam	132.66666666666666	92.31648462400057
908	2jam	133.0	75.43871685016919
1966	2jam	133.33333333333334	25.65800719723442
743	2jam	134.33333333333334	53.200877185750734
1341	2jam	135.66666666666666	105.31065156636974
1295	2jam	137.33333333333334	132.34928535255995
961	2jam	138.0	63.17436188834834
426	2jam	138.33333333333334	34.81857741685225
1265	2jam	139.0	9.539392014169456
1282	2jam	140.33333333333334	15.534906930308058
1732	2jam	141.0	31.432467291003423
1852	2jam	141.0	103.26180319944059
1089	2jam	141.33333333333334	71.39561144309455
2122	2jam	141.66666666666666	42.02776859807493
136	2jam	142.0	17.320508075688775
592	2jam	143.33333333333334	20.50203241957571
382	2jam	143.33333333333334	40.62429486567532
800	2jam	144.66666666666666	59.60145412096364
302	2jam	145.0	92.96773633901172
130	2jam	145.33333333333334	44.28694314731299
2149	2jam	145.66666666666666	114.47852782654628
2319	2jam	146.33333333333334	25.026652459594622
797	2jam	147.0	45.639894828976104
1936	2jam	147.33333333333334	24.13158373031769
399	2jam	147.33333333333334	104.61994711016314
2403	2jam	151.0	52.04805471869242
1535	2jam	152.33333333333334	52.54839039716948
1300	2jam	153.33333333333334	17.616280348965088
85	2jam	153.33333333333334	87.40900029935895
937	2jam	154.33333333333334	15.011106998930266
991	2jam	154.33333333333334	103.09865825185763
1804	2jam	154.66666666666666	86.72562097404281
2134	2jam	154.66666666666666	115.88931500933697
2184	2jam	155.33333333333334	118.69849760352207
1044	2jam	155.66666666666666	186.61546916944835
408	2jam	156.0	50.50742519669756
1042	2jam	156.33333333333334	33.6204302966713
1533	2jam	157.33333333333334	123.79149136080935
1381	2jam	157.66666666666666	64.25988899253821
2276	2jam	157.66666666666666	107.59801732993658
1157	2jam	158.66666666666666	127.78627991037744
616	2jam	159.0	58.12916651733448
1301	2jam	159.0	134.91108182799513
1051	2jam	160.0	60.35726965329032
1192	2jam	161.66666666666666	80.1332224070225
1531	2jam	162.0	84.78797084492588
2177	2jam	163.0	107.50348831549607
2416	2jam	164.0	39.0
666	2jam	164.0	67.66830868286867
835	2jam	164.33333333333334	169.5120448031152
2304	2jam	164.66666666666666	123.34639570467121
64	2jam	165.66666666666666	146.76966080676664
2358	2jam	166.66666666666666	26.633312473917567
2359	2jam	166.66666666666666	71.93283904680347
1113	2jam	169.66666666666666	24.785748593361742
1806	2jam	169.66666666666666	114.93621419436667
2439	2jam	170.66666666666666	20.03330560175563
467	2jam	171.66666666666666	20.1080415091409
1591	2jam	173.66666666666666	88.86131516770014
872	2jam	175.0	67.50555532695068
1220	2jam	175.66666666666666	97.75650021013095
1586	2jam	176.33333333333334	86.63332692061026
1466	2jam	177.66666666666666	74.27202254774897
2041	2jam	177.66666666666666	134.88637193331778
2349	2jam	178.33333333333334	170.3212650649746
874	2jam	180.0	18.027756377319946
1958	2jam	183.66666666666666	157.35734280081542
1622	2jam	184.33333333333334	199.82575743215222
1808	2jam	184.66666666666666	143.53164575567763
1599	2jam	186.0	112.74307074051158
243	2jam	189.66666666666666	85.231058501777
1037	2jam	190.66666666666666	61.784571968520865
1076	2jam	192.33333333333334	66.66583332812493
2043	2jam	193.0	82.63776376451628
1750	2jam	193.0	148.09118812407442
1973	2jam	193.0	227.11891158597956
439	2jam	193.66666666666666	46.3609030685699
693	2jam	193.66666666666666	64.08067831517808
436	2jam	194.0	27.055498516937366
906	2jam	194.66666666666666	144.55909979428253
1969	2jam	195.0	53.81449618829484
244	2jam	196.0	45.574115460423364
1536	2jam	197.66666666666666	121.47564913732025
663	2jam	198.0	18.520259177452136
709	2jam	198.33333333333334	155.2170523278075
2419	2jam	200.0	20.074859899884732
626	2jam	200.33333333333334	66.78572701807875
950	2jam	200.66666666666666	48.232077845903895
305	2jam	201.33333333333334	123.89646215018946
1372	2jam	203.0	95.4515583948214
428	2jam	206.0	63.66317616958802
1690	2jam	206.33333333333334	114.63129299337652
910	2jam	207.0	65.50572494064927
455	2jam	207.33333333333334	18.92969448600091
1865	2jam	208.0	85.42247947700886
2363	2jam	208.66666666666666	60.05275458572516
294	2jam	210.0	161.61992451427517
578	2jam	211.66666666666666	67.12177987310328
425	2jam	212.0	192.5175316691963
1789	2jam	212.66666666666666	38.79862540520389
1444	2jam	216.33333333333334	84.29907077384266
6	2jam	217.66666666666666	79.68897874444956
895	2jam	219.0	37.72267222772003
1744	2jam	220.0	79.68061244744545
2380	2jam	220.33333333333334	71.24839179471586
1758	2jam	221.66666666666666	44.43347086750407
1927	2jam	223.33333333333334	91.67515112250065
469	2jam	224.0	60.6217782649107
483	2jam	224.0	74.72616676907762
790	2jam	224.66666666666666	40.62429486567532
993	2jam	225.0	250.14195969489006
2003	2jam	225.66666666666666	21.779194965226175
2033	2jam	226.33333333333334	18.823743871327334
1718	2jam	227.0	7.810249675906654
106	2jam	227.0	17.349351572897472
