identifier	2jam_consensus	2qfa_consensus	3e7o_consensus	3elj_consensus	3npc_consensus	3sx0_consensus	4agl_consensus	4x21_consensus	5l4q_consensus	6e43_consensus	6q9y_consensus	6s1j_consensus	2jam_LeDock	2jam_Smina	2jam_Vina	2qfa_LeDock	2qfa_Smina	2qfa_Vina	3e7o_LeDock	3e7o_Smina	3e7o_Vina	3elj_LeDock	3elj_Smina	3elj_Vina	3npc_LeDock	3npc_Smina	3npc_Vina	3sx0_LeDock	3sx0_Smina	3sx0_Vina	4agl_LeDock	4agl_Smina	4agl_Vina	4x21_LeDock	4x21_Smina	4x21_Vina	5l4q_LeDock	5l4q_Smina	5l4q_Vina	6e43_LeDock	6e43_Smina	6e43_Vina	6q9y_LeDock	6q9y_Smina	6q9y_Vina	6s1j_LeDock	6s1j_Smina	6s1j_Vina
3e7o_LeDock	0.34	0.22	0.3	0.36	0.28	0.24	0.24	0.3	0.36	0.18	0.26	0.18	0.56	0.28	0.18	0.34	0.14	0.12	1.0	0.16	0.12	0.5	0.24	0.14	0.5	0.2	0.2	0.3	0.22	0.16	0.44	0.12	0.12	0.6	0.2	0.14	0.56	0.16	0.18	0.44	0.14	0.08	0.4	0.18	0.18	0.5	0.14	0.1
3e7o_Smina	0.36	0.32	0.6	0.3	0.3	0.3	0.26	0.4	0.4	0.32	0.34	0.4	0.12	0.4	0.4	0.24	0.36	0.36	0.16	1.0	0.7	0.18	0.4	0.4	0.22	0.36	0.3	0.22	0.28	0.24	0.12	0.32	0.22	0.18	0.46	0.4	0.2	0.48	0.38	0.22	0.28	0.22	0.22	0.32	0.26	0.24	0.5	0.38
3e7o_Vina	0.36	0.38	0.64	0.34	0.34	0.26	0.26	0.42	0.36	0.34	0.38	0.46	0.12	0.38	0.42	0.2	0.34	0.42	0.12	0.7	1.0	0.18	0.44	0.44	0.26	0.32	0.34	0.18	0.28	0.24	0.14	0.24	0.24	0.18	0.42	0.4	0.22	0.44	0.36	0.16	0.32	0.32	0.2	0.32	0.3	0.28	0.5	0.46
3elj_LeDock	0.28	0.2	0.26	0.52	0.2	0.24	0.28	0.18	0.3	0.16	0.22	0.18	0.54	0.26	0.18	0.28	0.14	0.16	0.5	0.18	0.18	1.0	0.32	0.24	0.46	0.14	0.16	0.38	0.24	0.18	0.46	0.2	0.14	0.52	0.14	0.1	0.52	0.22	0.1	0.28	0.12	0.06	0.34	0.1	0.12	0.46	0.14	0.12
3elj_Smina	0.28	0.2	0.46	0.6	0.28	0.24	0.18	0.26	0.28	0.3	0.32	0.28	0.28	0.26	0.28	0.2	0.2	0.22	0.24	0.4	0.44	0.32	1.0	0.72	0.24	0.3	0.24	0.18	0.26	0.2	0.24	0.2	0.18	0.24	0.36	0.3	0.22	0.42	0.28	0.2	0.28	0.28	0.2	0.26	0.24	0.26	0.3	0.3
3elj_Vina	0.26	0.26	0.44	0.54	0.32	0.24	0.22	0.32	0.36	0.3	0.3	0.36	0.16	0.3	0.34	0.18	0.24	0.26	0.14	0.4	0.44	0.24	0.72	1.0	0.16	0.32	0.3	0.16	0.3	0.3	0.12	0.26	0.24	0.12	0.36	0.36	0.14	0.4	0.34	0.14	0.24	0.28	0.12	0.26	0.26	0.14	0.34	0.42
3npc_LeDock	0.38	0.38	0.3	0.34	0.42	0.26	0.32	0.36	0.28	0.26	0.36	0.28	0.4	0.26	0.22	0.48	0.26	0.24	0.5	0.22	0.26	0.46	0.24	0.16	1.0	0.32	0.32	0.4	0.26	0.2	0.6	0.24	0.22	0.52	0.22	0.22	0.54	0.18	0.18	0.42	0.24	0.16	0.42	0.28	0.24	0.56	0.14	0.14
3npc_Smina	0.34	0.48	0.38	0.32	0.62	0.38	0.4	0.36	0.4	0.38	0.48	0.42	0.16	0.34	0.3	0.3	0.52	0.52	0.2	0.36	0.32	0.14	0.3	0.32	0.32	1.0	0.66	0.24	0.44	0.34	0.16	0.4	0.38	0.2	0.3	0.3	0.26	0.42	0.36	0.24	0.34	0.28	0.3	0.54	0.44	0.36	0.28	0.3
3npc_Vina	0.3	0.5	0.4	0.28	0.68	0.4	0.42	0.34	0.42	0.38	0.48	0.44	0.14	0.28	0.32	0.26	0.52	0.46	0.2	0.3	0.34	0.16	0.24	0.3	0.32	0.66	1.0	0.26	0.44	0.38	0.18	0.42	0.42	0.24	0.28	0.34	0.3	0.36	0.4	0.22	0.36	0.3	0.28	0.44	0.48	0.34	0.28	0.3
3sx0_LeDock	0.32	0.4	0.28	0.32	0.36	0.56	0.36	0.18	0.3	0.24	0.28	0.32	0.36	0.26	0.22	0.38	0.24	0.28	0.3	0.22	0.18	0.38	0.18	0.16	0.4	0.24	0.26	1.0	0.4	0.34	0.42	0.26	0.22	0.36	0.16	0.16	0.32	0.22	0.14	0.34	0.2	0.18	0.34	0.2	0.18	0.44	0.2	0.22
