name	docked_protein	score	no_atoms	Tool	ligand_efficiency
1706	2jam	-8.12555	22	Smina	-0.3693431818181818
205	2jam	-8.85548	24	Smina	-0.3689783333333333
138	2jam	-8.83099	24	Smina	-0.3679579166666666
1894	2jam	-8.81581	24	Smina	-0.3673254166666667
152	2jam	-9.53124	26	Smina	-0.3665861538461538
2242	2jam	-10.61088	29	Smina	-0.3658924137931034
293	2jam	-9.47888	26	Smina	-0.3645723076923077
131	2jam	-9.81787	27	Smina	-0.3636248148148148
1388	2jam	-9.81787	27	Smina	-0.3636248148148148
1266	2jam	-9.44202	26	Smina	-0.3631546153846153
2301	2jam	-8.33182	23	Smina	-0.3622530434782608
2330	2jam	-9.40348	26	Smina	-0.3616723076923077
1001	2jam	-8.31702	23	Smina	-0.3616095652173913
95	2jam	-9.03375	25	Smina	-0.36135
1130	2jam	-9.38245	26	Smina	-0.3608634615384615
2432	2jam	-8.97159	25	Smina	-0.3588636
2139	2jam	-8.6083	24	Smina	-0.3586791666666666
680	2jam	-8.60405	24	Smina	-0.3585020833333334
199	2jam	-8.598	24	Smina	-0.35825
2164	2jam	-8.598	24	Smina	-0.35825
1434	2jam	-9.30933	26	Smina	-0.3580511538461538
247	2jam	-7.87035	22	Smina	-0.3577431818181818
1982	2jam	-8.22308	23	Smina	-0.3575252173913043
200	2qfa	-7.63826	20	Smina	-0.381913
201	2qfa	-8.68919	24	Smina	-0.3620495833333333
2350	2qfa	-7.59727	21	Smina	-0.3617747619047619
2301	2qfa	-8.25613	23	Smina	-0.3589621739130435
1894	2qfa	-8.54537	24	Smina	-0.3560570833333333
141	2qfa	-7.77843	22	Smina	-0.353565
1413	2qfa	-8.40274	24	Smina	-0.3501141666666666
1676	2qfa	-8.00056	23	Smina	-0.3478504347826087
247	2qfa	-7.64155	22	Smina	-0.3473431818181818
1266	2qfa	-8.95307	26	Smina	-0.3443488461538461
789	2qfa	-7.21577	21	Smina	-0.3436080952380952
1941	2qfa	-7.53697	22	Smina	-0.3425895454545454
908	2qfa	-7.86762	23	Smina	-0.3420704347826087
695	2qfa	-7.18216	21	Smina	-0.342007619047619
1706	2qfa	-7.51655	22	Smina	-0.3416613636363636
1893	2qfa	-8.878	26	Smina	-0.3414615384615385
2109	2qfa	-7.15799	21	Smina	-0.3408566666666666
1432	2qfa	-7.14593	21	Smina	-0.3402823809523809
1781	2qfa	-8.15552	24	Smina	-0.3398133333333333
624	2qfa	-7.43847	22	Smina	-0.3381122727272727
670	2qfa	-7.40905	22	Smina	-0.336775
138	2qfa	-8.07695	24	Smina	-0.3365395833333333
1160	2qfa	-7.73324	23	Smina	-0.3362278260869565
2330	2qfa	-8.72647	26	Smina	-0.3356334615384616
737	2qfa	-6.70445	20	Smina	-0.3352225
662	2qfa	-8.02805	24	Smina	-0.3345020833333333
2267	2qfa	-8.60853	26	Smina	-0.3310973076923077
1850	2qfa	-7.93986	24	Smina	-0.3308275
1355	2qfa	-8.54352	26	Smina	-0.328596923076923
834	2qfa	-8.51066	26	Smina	-0.3273330769230769
681	2qfa	-7.85251	24	Smina	-0.3271879166666666
1130	2qfa	-8.50211	26	Smina	-0.3270042307692308
1226	2qfa	-7.51732	23	Smina	-0.3268399999999999
421	2qfa	-8.48003	26	Smina	-0.326155
631	2qfa	-8.473	26	Smina	-0.3258846153846154
1222	2qfa	-7.45286	23	Smina	-0.3240373913043478
1224	2qfa	-8.09882	25	Smina	-0.3239528
