name,docked_protein,score,no_atoms,ligand_efficiency
0002,2jam,-8.26,33,-0.2503030303030303
0003,2jam,-8.48,33,-0.25696969696969696
0004,2jam,-6.74,31,-0.2174193548387097
0005,2jam,-8.05,35,-0.23
0006,2jam,-7.37,30,-0.24566666666666667
0011,2jam,-7.36,32,-0.23
0017,2jam,-8.17,34,-0.24029411764705882
0018,2jam,-8.28,33,-0.2509090909090909
0020,2jam,-6.39,32,-0.1996875
0023,2jam,-5.83,35,-0.16657142857142856
0026,2jam,-5.75,25,-0.23
0031,2jam,-5.62,24,-0.23416666666666666
0033,2jam,-6.3,30,-0.21
0035,2jam,-6.67,30,-0.22233333333333333
0037,2jam,-5.96,26,-0.22923076923076924
0039,2jam,-4.8,20,-0.24
0056,2jam,-4.56,22,-0.20727272727272725
0064,2jam,-4.41,21,-0.21000000000000002
0067,2jam,-4.52,22,-0.20545454545454545
0081,2jam,-5.53,22,-0.2513636363636364
0085,2jam,-6.63,25,-0.2652
0095,2jam,-6.58,25,-0.2632
0106,2jam,-6.42,28,-0.2292857142857143
0107,2jam,-6.8,30,-0.22666666666666666
0111,2jam,-6.36,28,-0.22714285714285715
0127,2jam,-7.55,27,-0.2796296296296296
0129,2jam,-6.66,28,-0.23785714285714285
0130,2jam,-6.29,27,-0.23296296296296296
0131,2jam,-6.92,27,-0.2562962962962963
0136,2jam,-6.8,28,-0.24285714285714285
0137,2jam,-5.97,24,-0.24875
0138,2jam,-6.48,24,-0.27
0141,2jam,-5.57,22,-0.2531818181818182
0152,2jam,-6.12,26,-0.2353846153846154
0153,2jam,-7.94,31,-0.25612903225806455
0156,2jam,-6.16,28,-0.22
0167,2jam,-5.97,34,-0.17558823529411763
0169,2jam,-6.58,35,-0.188
0170,2jam,-6.39,34,-0.18794117647058822
0175,2jam,-6.41,31,-0.2067741935483871
0176,2jam,-6.69,32,-0.2090625
0182,2jam,-5.48,35,-0.15657142857142858
0184,2jam,-5.54,32,-0.173125
0188,2jam,-5.32,30,-0.17733333333333334
0191,2jam,-7.51,33,-0.22757575757575757
0199,2jam,-6.59,24,-0.27458333333333335
0200,2jam,-6.47,20,-0.3235
0201,2jam,-6.18,24,-0.2575
0205,2jam,-6.62,24,-0.2758333333333333
0211,2jam,-5.29,21,-0.2519047619047619
0213,2jam,-6.02,24,-0.2508333333333333
0216,2jam,-7.26,28,-0.2592857142857143
0219,2jam,-5.83,26,-0.22423076923076923
0226,2jam,-6.66,29,-0.2296551724137931
0231,2jam,-5.55,33,-0.16818181818181818
0235,2jam,-5.34,25,-0.21359999999999998
0243,2jam,-7.1,28,-0.25357142857142856
0244,2jam,-5.43,24,-0.22624999999999998
0247,2jam,-5.41,22,-0.2459090909090909
0257,2jam,-6.51,30,-0.217
0263,2jam,-6.4,33,-0.19393939393939394
0265,2jam,-5.39,34,-0.15852941176470586
0274,2jam,-6.02,30,-0.20066666666666666
0278,2jam,-5.09,27,-0.1885185185185185
0289,2jam,-7.72,30,-0.2573333333333333
0293,2jam,-5.93,26,-0.22807692307692307
0294,2jam,-8.43,30,-0.28099999999999997
0302,2jam,-6.06,27,-0.22444444444444442
0305,2jam,-6.84,26,-0.2630769230769231
0309,2jam,-6.04,32,-0.18875
0320,2jam,-6.14,29,-0.21172413793103448
0324,2jam,-6.52,31,-0.21032258064516127
0346,2jam,-6.1,34,-0.17941176470588235
0347,2jam,-7.03,33,-0.21303030303030304
0349,2jam,-6.47,31,-0.20870967741935484
0351,2jam,-6.54,31,-0.21096774193548387
0354,2jam,-6.05,31,-0.19516129032258064
0361,2jam,-6.13,32,-0.1915625
0362,2jam,-5.46,35,-0.156
0364,2jam,-5.94,31,-0.19161290322580646
0381,2jam,-7.25,28,-0.25892857142857145
0382,2jam,-7.07,28,-0.2525
0385,2jam,-6.24,28,-0.22285714285714286
0386,2jam,-6.53,31,-0.2106451612903226
0393,2jam,-6.0,26,-0.23076923076923078
0395,2jam,-6.06,28,-0.21642857142857141
0399,2jam,-5.97,27,-0.2211111111111111
0400,2jam,-5.47,29,-0.1886206896551724
0408,2jam,-7.05,28,-0.2517857142857143
0411,2jam,-7.01,31,-0.22612903225806452
0412,2jam,-6.72,31,-0.2167741935483871
0414,2jam,-6.86,32,-0.214375
0416,2jam,-6.68,30,-0.22266666666666665
0421,2jam,-6.4,26,-0.24615384615384617
0425,2jam,-4.55,24,-0.18958333333333333
0426,2jam,-6.59,27,-0.24407407407407408
0428,2jam,-5.92,27,-0.21925925925925926
0429,2jam,-7.12,33,-0.21575757575757576
0436,2jam,-6.17,27,-0.2285185185185185
0439,2jam,-6.09,26,-0.23423076923076921
0441,2jam,-8.74,31,-0.28193548387096773
0444,2jam,-6.96,31,-0.22451612903225807
0454,2jam,-5.38,21,-0.2561904761904762
0455,2jam,-5.7,25,-0.228
0459,2jam,-6.53,27,-0.24185185185185187
0467,2jam,-6.3,27,-0.23333333333333334
0469,2jam,-6.74,31,-0.2174193548387097
0471,2jam,-7.07,27,-0.26185185185185184
0473,2jam,-6.2,29,-0.21379310344827587
0483,2jam,-7.26,30,-0.242
0484,2jam,-7.01,34,-0.2061764705882353
0485,2jam,-6.07,33,-0.18393939393939396
0500,2jam,-5.4,29,-0.18620689655172415
0502,2jam,-4.79,24,-0.19958333333333333
0504,2jam,-4.27,26,-0.1642307692307692
0505,2jam,-4.99,27,-0.18481481481481482
0513,2jam,-7.26,30,-0.242
0526,2jam,-7.1,28,-0.25357142857142856
0550,2jam,-5.9,29,-0.20344827586206898
0556,2jam,-5.43,26,-0.20884615384615385
0558,2jam,-5.01,25,-0.2004
0559,2jam,-5.43,28,-0.19392857142857142
0566,2jam,-5.48,27,-0.20296296296296298
0571,2jam,-6.42,31,-0.20709677419354838
0578,2jam,-6.14,25,-0.24559999999999998
0579,2jam,-5.63,28,-0.20107142857142857
0588,2jam,-5.78,23,-0.25130434782608696
0591,2jam,-5.25,22,-0.23863636363636365
0592,2jam,-5.66,23,-0.24608695652173915
0596,2jam,-5.95,28,-0.2125
0610,2jam,-5.16,31,-0.1664516129032258
0611,2jam,-6.35,32,-0.1984375
0616,2jam,-6.16,27,-0.22814814814814816
