dock_time	ligand	protein
24.00382113456726	0002	2jam
26.139004230499268	0003	2jam
19.68027091026306	0004	2jam
36.957242012023926	0005	2jam
19.957390069961548	0006	2jam
31.62360715866089	0011	2jam
30.41881799697876	0017	2jam
31.393794059753418	0018	2jam
28.347984075546265	0020	2jam
39.71530604362488	0023	2jam
10.56270694732666	0026	2jam
14.137293815612793	0031	2jam
19.582775115966797	0033	2jam
19.30888295173645	0035	2jam
10.788398027420044	0037	2jam
5.73621392250061	0039	2jam
5.62633204460144	0056	2jam
5.676880121231079	0064	2jam
6.444121837615967	0067	2jam
5.502238988876343	0081	2jam
7.62599515914917	0085	2jam
11.445248126983643	0095	2jam
12.7913179397583	0106	2jam
16.173260927200317	0107	2jam
12.918540954589844	0111	2jam
12.414177179336548	0127	2jam
10.788213014602661	0129	2jam
11.180447816848755	0130	2jam
9.71708083152771	0131	2jam
11.51521110534668	0136	2jam
5.741511344909668	0137	2jam
5.312161922454834	0138	2jam
5.52137017250061	0141	2jam
8.897391080856323	0152	2jam
21.59970498085022	0153	2jam
13.454984903335571	0156	2jam
28.36370301246643	0167	2jam
31.40622901916504	0169	2jam
29.075018882751465	0170	2jam
17.82335901260376	0175	2jam
22.834481239318848	0176	2jam
27.035020112991333	0182	2jam
21.917543172836304	0184	2jam
20.00458812713623	0188	2jam
23.53157114982605	0191	2jam
8.788415908813477	0199	2jam
4.9560840129852295	0200	2jam
9.022888898849487	0201	2jam
6.4647300243377686	0205	2jam
5.680979013442993	0211	2jam
6.636889219284058	0213	2jam
15.76911997795105	0216	2jam
14.534005165100098	0219	2jam
14.485144853591919	0226	2jam
28.417428016662598	0231	2jam
7.827060222625732	0235	2jam
12.789085865020752	0243	2jam
6.8504393100738525	0244	2jam
6.293229103088379	0247	2jam
25.236373901367188	0257	2jam
20.638393878936768	0263	2jam
23.491441011428833	0265	2jam
16.490365982055664	0274	2jam
16.77378797531128	0278	2jam
19.472710132598877	0289	2jam
9.311739921569824	0293	2jam
25.365097999572754	0294	2jam
10.039820194244385	0302	2jam
9.307635068893433	0305	2jam
18.884188175201416	0309	2jam
15.376175165176392	0320	2jam
20.685930967330933	0324	2jam
33.47862911224365	0346	2jam
25.374156713485718	0347	2jam
16.69569706916809	0349	2jam
16.856950044631958	0351	2jam
19.79732084274292	0354	2jam
21.61623501777649	0361	2jam
24.068739891052246	0362	2jam
17.4493989944458	0364	2jam
12.587756872177124	0381	2jam
14.361601114273071	0382	2jam
13.292627334594727	0385	2jam
19.25397491455078	0386	2jam
10.348706007003784	0393	2jam
10.965636014938354	0395	2jam
11.52236795425415	0399	2jam
15.202848196029663	0400	2jam
13.787147998809814	0408	2jam
22.255099296569824	0411	2jam
22.02692198753357	0412	2jam
26.550063133239746	0414	2jam
21.45986008644104	0416	2jam
8.955563068389893	0421	2jam
6.374428033828735	0425	2jam
15.443934202194214	0426	2jam
