dock_time	ligand	protein
28.47909903526306	0002	3e7o
31.167087078094482	0003	3e7o
19.604696035385132	0004	3e7o
38.9411997795105	0005	3e7o
19.21080493927002	0006	3e7o
32.13902401924133	0011	3e7o
35.17666220664978	0017	3e7o
29.885004997253418	0018	3e7o
26.901715993881226	0020	3e7o
34.32973599433899	0023	3e7o
8.504469156265259	0026	3e7o
11.246109008789062	0031	3e7o
18.5604510307312	0033	3e7o
18.433561086654663	0035	3e7o
10.522613048553467	0037	3e7o
5.6373560428619385	0039	3e7o
6.018074989318848	0056	3e7o
6.238861083984375	0064	3e7o
7.028350114822388	0067	3e7o
5.212824821472168	0081	3e7o
7.859786033630371	0085	3e7o
11.363808870315552	0095	3e7o
11.854166030883789	0106	3e7o
15.762359142303467	0107	3e7o
12.819720029830933	0111	3e7o
13.588836669921875	0127	3e7o
11.429367065429688	0129	3e7o
11.125385046005249	0130	3e7o
10.678900003433228	0131	3e7o
12.797603130340576	0136	3e7o
5.7409281730651855	0137	3e7o
5.607109308242798	0138	3e7o
5.555558204650879	0141	3e7o
8.564357280731201	0152	3e7o
24.635007858276367	0153	3e7o
13.458313941955566	0156	3e7o
27.09803795814514	0167	3e7o
28.64718508720398	0169	3e7o
28.423343896865845	0170	3e7o
18.47468113899231	0175	3e7o
22.84701681137085	0176	3e7o
24.446675062179565	0182	3e7o
22.64711284637451	0184	3e7o
19.49097204208374	0188	3e7o
22.250777006149292	0191	3e7o
8.167357921600342	0199	3e7o
4.656638145446777	0200	3e7o
8.706253051757812	0201	3e7o
6.280961036682129	0205	3e7o
5.879580974578857	0211	3e7o
6.39739990234375	0213	3e7o
14.439397811889648	0216	3e7o
14.436012029647827	0219	3e7o
13.102951049804688	0226	3e7o
27.33944296836853	0231	3e7o
8.571640729904175	0235	3e7o
12.16681981086731	0243	3e7o
6.320003986358643	0244	3e7o
5.71494197845459	0247	3e7o
22.411193132400513	0257	3e7o
24.89427089691162	0263	3e7o
25.2185320854187	0265	3e7o
